id lang ,id marker,language,ISO,glottocode,geneological information,latitude,longitude,short link,pages,source,marking,strategy,productivity,collective,distributive,intRAoccasional,intERoccasional,number value
66,75,Savosavo,svs,savo1255 ,Savosavo,-9.12853,159.814,Wegener 2012,183-186,"Wegener, Claudia U. 2012. A grammar of Savosavo. (Mouton Grammar Library, 61.) Berlin, Boston: Berlin: Mouton de Gruyter. doi: 10.1515/9783110289657.",partial reduplication,reduplication,NC,---,---,"repeated, multidirectional",---,NC
67,76,Dera (Indonesia),kbv,dera1245,Senagi,-3.52309,140.947,Sousa 2006,270-276,"Sousa, Hilário de. 2006. The Menggwa Dla language of New Guinea. Sydney: University of Sydney dissertation.",stem alternation,irregular stem alternation,productive,S/P,S/P ,---,---,>2
68,77,Sentani,set,nucl1632,Sentanic,-2.6013,140.512,Mayer 2021,57-58,"Mayer, Clemens J. 2021. A grammar sketch of Sentani. Leiden University MA thesis.",suffix -ko,affixation,NC,P,P ,repeated,---,NC
69,78,Kapriman,dju,kapr1245,Sepik,-4.51011,143.241,Sumbuk 1999,162-163,"Sumbuk, Kenneth Memson. 1999. Morphosyntax of Sare. Waikato, NZ: University of Waikato dissertation.",full reduplication,reduplication,productive,---,---,repetitive,iterative,NC
70,79,Yessan-Mayo,yss,yess1239,Sepik,-4.15721,142.574,Foreman 1974,47,"Foreman, Velma M. 1974. Grammar of Yessan-Mayo. (Language Data: Asian-Pacific Series, 4.) Ukarumpa, Papua New Guinea: Santa Ana: Summer Institute of Linguistics.",full reduplication + stem alternation,reduplication,NC,---,P dispersive,---,---,NC
71,,Abau,aau,abau1245,Sepik,-3.97222,141.324,Lock 2011,NA,"Lock, Arnold. 2011. Abau grammar. (Data Papers on Papua New Guinea Languages, 57.) Papua New Guinea: SIL-PNG Academic Publications.",NA,,,,,,,
72,80,Mehek,nux,mehe1243,Sepik,-3.70927,142.498,Hatfield 2016,230-231,"Hatfield, Adam. 2016. A grammar of Mehek. Buffalo: State University of New York at Buffalo dissertation.",suffix -yu,affixation,NC,---,---,"repeated, continuative",frequentative,NC
73,81,Awtuw,kmn,awtu1239,Sepik,-3.53129,141.928,Feldman 1986,71-73,"Feldman, Harry. 1986. A Grammar of Awtuw. (Pacific Linguistics: Series B, 94.) Canberra: Research School of Pacific and Asian Studies, Australian National University.",suffix -m / -mem / -nem,affixation,NC,S/A,S/A ,---,---,>1
74,,Alamblak,amp,alam1246,Sepik,-4.66307,143.316,Bruce 1979,NA,"Bruce, Leslie P., Jr. 1979. A Grammar of Alamblak (Papua New Guinea). Canberra: Australian National University dissertation.",NA,,,,,,,
75,,Pouye,bye,pouy1238,Sepik,-3.72704,141.864,Dede & Reuter 2011,NA,"Dede, Wendy & Dorothea Reuter. 2011. Pouye Grammar Essentials. SIL international.",NA,,,,,,,
76,,Mende (Papua New Guinea),sim,mend1268,Sepik,-3.67233,142.683,Hoel et al. 1994,NA,"Hoel, Hanna Marie, Tarja Ikäheimonen & Michiyo Nozawa. 1994. Mende Grammar Essentials. Ukarumpa, Papua New Guinea: Unpublished Typescript, The Summer Institute of Linguistics.",NA,,,,,,,
77,82,Skou,skv,nucl1634,Sko,-2.64378,140.902,Donohue 2005,231-232,"Donohue, Mark. 2005. Draft Forthcoming Skou Reference Grammar. Ms.",stem alternation,irregular stem alternation,restricted,S/P,S/P ,---,---,>1
78,,I'saka,ksi,kris1246,Sko,-2.80084,141.303,Donohue & San Roque 2004,NA,"Donohue, Mark & Lila San Roque. 2004. I'saka: a sketch grammar of a language of north-central New Guinea. (Pacific Linguistics, 554.) Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,,,,,,
79,83,Bauni,bpe,wara1302,Sko,-3.07263,142.012,Corris 2006,91,"Corris, Miriam. 2005. A grammar of Barupu, a language of Papua New Guinea. Sydney: University of Sydney dissertation.",stem alternation,irregular stem alternation,2 verbs,---,S/P ,---,---,NC
79,84,Bauni,bpe,wara1302,Sko,-3.07263,142.012,Corris 2006,306-308,"Corris, Miriam. 2005. A grammar of Barupu, a language of Papua New Guinea. Sydney: University of Sydney dissertation.",partial reduplication,reduplication,NC,---,S/P,"repetitive, repeated, multidirectional",---,NC
