id lang ,id marker,language,ISO,glottocode,geneological information,latitude,longitude,short link,pages,source,marking,strategy,productivity,collective,distributive,intRAoccasional,intERoccasional,number value
16,27,Wanam Yelmek,---,wana1273,Bulaka River,-7.451,139.108,Gregor 2021,229-233,"Gregor, Tina. 2021. A Documentation and Description of Yelmek. Australian National University dissertation.",stem alterantion,irregular stem alternation,restricted (12 verbs),S/P,S/P ,---,---,>1
17,28,Daga,dgz,daga1275,Dagan,-9.9747,149.263,Murane 1974,41,"Murane, Elizabeth. 1974. Daga Grammar: From Morpheme to Discourse. (Summer Institute of Linguistics: Publications in Linguistics, 43.) Microfiche ed. edn. Norman: Dallas, Texas: The Summer Institute of Linguistics and the University of Texas at Arlington.",stem alterantion,irregular stem alternation,4 verbs,P,P ,---,---,>1
17,29,Daga,dgz,daga1275,Dagan,-9.9747,149.263,Murane 1974,72-74,"Murane, Elizabeth. 1974. Daga Grammar: From Morpheme to Discourse. (Summer Institute of Linguistics: Publications in Linguistics, 43.) Microfiche ed. edn. Norman: Dallas, Texas: The Summer Institute of Linguistics and the University of Texas at Arlington.",full or partial reduplication,reduplication,NC,---,S/P ,repeated ?,---,NC
18,,Duna,duc,duna1248,Duna,-5.41439,142.475,San Roque 2008,NA,"San Roque, Lila. 2008. An introduction to Duna grammar. Canberra: Australian National University dissertation.",NA,,,,,,,
19,30,Meyah,mej,meya1236,East Bird's Head,-1.18016,133.618,Gravelle 2004,110-111,"Gravelle, Gilles. 2004. The Meyah Language of Papua. Vrije Universiteit Amsterdam dissertation.",partial reduplication,reduplication,NC,---,---,continuative,---,NC
20,31,Moskona,mtj,mosk1236,East Bird's Head,-1.62201,133.145,Gravelle 2010,135-137,"Gravelle, Gloria. 2010. A Grammar of Moskona: An East Bird's Head Language of West Papua, Indonesia. Amsterdam: Vrije Universiteit Amsterdam dissertation.",full reduplication,reduplication,NC,---,---,"repetitive, repeated",---,NC
21,,Sougb,mnx,mani1235 ,East Bird's Head,-1.49611,133.95,Reesink 2002,NA,"Reesink, Ger P. 2002. A Grammar Sketch of Sougb. In Ger P. Reesink (ed.), Languages of the Eastern Bird's Head, 181-276. Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,NC,,,,,
22,32,Konai,kxw,kona1242,East Strickland,-5.66011,142.069,Årsjö 2016,"99-100, 76","Årsjö, Britten. 2016. Konai Reference Grammar. Ukarumpa: Summer Institute of Linguistics.",suffix -ga,affixation,restricted,?,S/P ,---,---,>1
22,33,Konai,kxw,kona1242,East Strickland,-5.66011,142.069,Årsjö 2016,"100-101, 76","Årsjö, Britten. 2016. Konai Reference Grammar. Ukarumpa: Summer Institute of Linguistics.",suffix -se,affixation,restricted,?,P ,---,---,>1
22,34,Konai,kxw,kona1242,East Strickland,-5.66011,142.069,Årsjö 2016,"99-100, 76","Årsjö, Britten. 2016. Konai Reference Grammar. Ukarumpa: Summer Institute of Linguistics.","suffixes -gua, -sie / -sige, stem alternation",irregular stem alternation,restricted,?,S ,---,---,>1
22,35,Konai,kxw,kona1242,East Strickland,-5.66011,142.069,Årsjö 2016,"56-57, 76, 93, 101","Årsjö, Britten. 2016. Konai Reference Grammar. Ukarumpa: Summer Institute of Linguistics.","full reduplication, partial reduplication",reduplication,NC,---,P,"repetitive, repeated","iterative, standard habitual",NC
23,36,Odoodee,kkc,odoo1238,East Strickland,-6.59222,142.486,Hays & Hays 2002,29-31,"Hays, Darrell & Kerttu Hays. 2002. Odoodee Grammar Essentials. Ms.","irregular suffixes, stem alternation",irregular stem alternation,NC,S/P,S/P ?,---,---,>1
24,,Meriam,ulk,meri1244,Eastern Trans-Fly,-9.59575,143.773,Piper 1989,NA,"Piper, Nick. 1989. A Sketch Grammar of Meryam Mer. Australian National University MA thesis.",NA,,,,,,,
25,37,Wipi,gdr,wipi1242,Eastern Trans-Fly,-8.79741,143.064,Dondorp & Shim 2013 [1997],41,"Dondorp, Anne & Jae-Wook Shim. 2013 [1997]. Wipi Grammar Essentials. Ms.",suffix -en,affixation,productive,---,---,repetitive,"iterative, standard habitual",NC
25,38,Wipi,gdr,wipi1242,Eastern Trans-Fly,-8.79741,143.064,Dondorp & Shim 2013 [1997],32-34,"Dondorp, Anne & Jae-Wook Shim. 2013 [1997]. Wipi Grammar Essentials. Ms.","vowel alternation, stem alternation",irregular stem alternation,NC,S/P/R,S/P/R,---,---,>1
25,39,Wipi,gdr,wipi1242,Eastern Trans-Fly,-8.79741,143.064,Dondorp & Shim 2013 [1997],36-37,"Dondorp, Anne & Jae-Wook Shim. 2013 [1997]. Wipi Grammar Essentials. Ms.",suffix -in,affixation,NC,S/P,S/P ,---,---,>2
26,40,Fasu,faa,fasu1242,Fasu,-6.62687,143.284,Loeweke & May 1980,44-45,"Loeweke, Eunice & Jean May. 1980. General grammar of Fasu (Namo Me). In Don Hutchisson (ed.), Grammatical studies in Fasu and Mt. Koiali, 5-106. Ukarumpa: Summer Institute of Linguistics.",stem alternation,irregular stem alternation,restricted,S/P,S/P ,---,---,NC
27,,Fuyug,fuy,fuyu1242,Fuyug,-8.6371,147.312,Bradshaw 2007,NA,"Bradshaw, Robert. 2007. Fuyug grammar sketch. (Data Papers on Papua New Guinea Languages, 53.) Ukarumpa, Papua New Guinea: SIL-PNG Academic Publications.",NA,,,,,,,
28,,Hatam,had,hata1243,Hatam-Mansim,-1.13531,134.037,Reesink 1999,NA,"Reesink, Ger P. 1999. A Grammar of Hatam: Bird's Head Peninsula Irian Jaya. (Pacific Linguistics: Series C, 146.) Canberra Australia: Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,,,,,,
